"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 01, 2019","0.002453","0.002076","0.002581","0.002069","488.96M","18.15%"
"Mar 31, 2019","0.002076","0.002084","0.002092","0.002060","421.39M","-0.36%"
"Mar 30, 2019","0.002084","0.002090","0.002101","0.002060","289.35M","-0.29%"
"Mar 29, 2019","0.002090","0.002058","0.002099","0.002044","385.48M","1.54%"
"Mar 28, 2019","0.002058","0.002068","0.002076","0.002029","482.80M","-0.49%"
"Mar 27, 2019","0.002068","0.002025","0.002075","0.001946","386.73M","2.13%"
"Mar 26, 2019","0.002025","0.002023","0.002045","0.002012","470.14M","0.06%"
"Mar 25, 2019","0.002023","0.002017","0.002066","0.001990","387.30M","0.33%"
"Mar 24, 2019","0.002017","0.002023","0.002029","0.001996","245.35M","-0.28%"
"Mar 23, 2019","0.002023","0.002025","0.002035","0.002012","232.01M","-0.13%"
"Mar 22, 2019","0.002025","0.002017","0.002036","0.002008","174.53M","0.41%"
"Mar 21, 2019","0.002017","0.002043","0.002049","0.002003","331.44M","-1.28%"
"Mar 20, 2019","0.002043","0.002051","0.002067","0.002021","219.27M","-0.36%"
"Mar 19, 2019","0.002051","0.002061","0.002075","0.002039","248.18M","-0.51%"
"Mar 18, 2019","0.002061","0.002051","0.002081","0.002037","343.09M","0.48%"
"Mar 17, 2019","0.002051","0.002053","0.002068","0.002026","422.87M","-0.10%"
"Mar 16, 2019","0.002053","0.002035","0.002079","0.002027","383.69M","0.91%"
"Mar 15, 2019","0.002035","0.002023","0.002049","0.002011","400.94M","0.58%"
"Mar 14, 2019","0.002023","0.002007","0.002029","0.001990","338.49M","0.78%"
"Mar 13, 2019","0.002007","0.001995","0.002073","0.001985","239.80M","0.59%"
"Mar 12, 2019","0.001995","0.001929","0.002029","0.001900","347.03M","3.45%"
"Mar 11, 2019","0.001929","0.001959","0.001967","0.001920","515.79M","-1.55%"
"Mar 10, 2019","0.001959","0.001978","0.001978","0.001947","346.39M","-0.95%"
"Mar 09, 2019","0.001978","0.001949","0.001987","0.001939","403.65M","1.49%"
"Mar 08, 2019","0.001949","0.001952","0.001970","0.001929","353.34M","-0.13%"
"Mar 07, 2019","0.001951","0.001939","0.001996","0.001939","301.84M","0.66%"
"Mar 06, 2019","0.001939","0.001947","0.001961","0.001930","376.15M","-0.44%"
"Mar 05, 2019","0.001947","0.001908","0.001968","0.001901","514.18M","2.04%"
"Mar 04, 2019","0.001908","0.001959","0.001973","0.001903","204.78M","-2.60%"
"Mar 03, 2019","0.001959","0.001979","0.002000","0.001956","247.18M","-1.01%"
"Mar 02, 2019","0.001979","0.001964","0.001984","0.001952","467.24M","0.79%"
"Mar 01, 2019","0.001964","0.001927","0.001982","0.001924","407.59M","1.90%"
"Feb 28, 2019","0.001927","0.001951","0.001958","0.001912","320.67M","-1.25%"
"Feb 27, 2019","0.001951","0.001957","0.001979","0.001924","468.38M","-0.27%"
"Feb 26, 2019","0.001957","0.001988","0.001996","0.001952","352.00M","-1.58%"
"Feb 25, 2019","0.001988","0.001916","0.002010","0.001916","335.38M","3.74%"
"Feb 24, 2019","0.001916","0.002070","0.002123","0.001891","680.98M","-7.40%"
"Feb 23, 2019","0.002070","0.002044","0.002097","0.002024","415.37M","1.26%"
"Feb 22, 2019","0.002044","0.002021","0.002049","0.002007","471.40M","1.14%"
"Feb 21, 2019","0.002021","0.002052","0.002056","0.002019","356.05M","-1.52%"
"Feb 20, 2019","0.002052","0.002064","0.002064","0.002023","502.37M","-0.60%"
"Feb 19, 2019","0.002064","0.002059","0.002092","0.002038","741.97M","0.26%"
"Feb 18, 2019","0.002059","0.002026","0.002067","0.001998","760.88M","1.64%"
"Feb 17, 2019","0.002026","0.001932","0.002039","0.001932","1.20B","4.85%"
"Feb 16, 2019","0.001932","0.001890","0.001937","0.001889","471.52M","2.23%"
"Feb 15, 2019","0.001890","0.001890","0.001902","0.001884","370.37M","0.00%"
"Feb 14, 2019","0.001890","0.001888","0.001899","0.001873","401.46M","0.15%"
"Feb 13, 2019","0.001888","0.001878","0.001899","0.001872","422.38M","0.51%"
"Feb 12, 2019","0.001878","0.001861","0.001894","0.001857","305.58M","0.88%"
"Feb 11, 2019","0.001861","0.001899","0.001899","0.001861","370.20M","-1.97%"
"Feb 10, 2019","0.001899","0.001908","0.001913","0.001876","310.01M","-0.48%"
"Feb 09, 2019","0.001908","0.001937","0.001937","0.001886","312.62M","-1.50%"
"Feb 08, 2019","0.001937","0.001818","0.001987","0.001808","509.73M","6.57%"
"Feb 07, 2019","0.001818","0.001805","0.001825","0.001804","317.79M","0.68%"
"Feb 06, 2019","0.001805","0.001855","0.001858","0.001797","367.55M","-2.70%"
"Feb 05, 2019","0.001855","0.001871","0.001878","0.001854","359.09M","-0.94%"
"Feb 04, 2019","0.001873","0.001880","0.001893","0.001866","276.55M","-0.39%"
"Feb 03, 2019","0.001880","0.001927","0.001929","0.001844","552.21M","-2.41%"
"Feb 02, 2019","0.001927","0.001909","0.001929","0.001891","426.38M","0.94%"
"Feb 01, 2019","0.001909","0.001893","0.001922","0.001848","589.88M","0.85%"
"Jan 31, 2019","0.001893","0.001922","0.001947","0.001886","557.02M","-1.54%"
"Jan 30, 2019","0.001922","0.001878","0.001929","0.001865","514.14M","2.36%"
"Jan 29, 2019","0.001878","0.001890","0.001898","0.001834","449.96M","-0.67%"
"Jan 28, 2019","0.001891","0.001994","0.001997","0.001853","708.23M","-5.17%"
"Jan 27, 2019","0.001994","0.002011","0.002014","0.001983","318.79M","-0.83%"
"Jan 26, 2019","0.002010","0.002005","0.002040","0.001999","352.45M","0.26%"
"Jan 25, 2019","0.002005","0.002006","0.002017","0.001998","322.29M","0.00%"
"Jan 24, 2019","0.002006","0.001996","0.002013","0.001982","423.85M","0.48%"
"Jan 23, 2019","0.001996","0.002021","0.002021","0.001977","609.79M","-1.22%"
"Jan 22, 2019","0.002021","0.002032","0.002044","0.001992","842.72M","-0.58%"
"Jan 21, 2019","0.002032","0.002028","0.002044","0.001995","580.88M","0.20%"
"Jan 20, 2019","0.002028","0.002094","0.002107","0.002000","565.92M","-3.13%"
"Jan 19, 2019","0.002094","0.002042","0.002134","0.002001","978.04M","2.55%"
"Jan 18, 2019","0.002042","0.002062","0.002065","0.002031","376.20M","-1.01%"
"Jan 17, 2019","0.002062","0.002066","0.002073","0.002047","416.45M","-0.17%"
"Jan 16, 2019","0.002066","0.002042","0.002071","0.002031","354.12M","1.17%"
"Jan 15, 2019","0.002042","0.002080","0.002085","0.002028","439.71M","-1.84%"
"Jan 14, 2019","0.002080","0.002053","0.002109","0.002035","384.45M","1.34%"
"Jan 13, 2019","0.002053","0.002084","0.002098","0.002007","642.01M","-1.47%"
"Jan 12, 2019","0.002084","0.002067","0.002111","0.002054","406.53M","0.80%"
"Jan 11, 2019","0.002067","0.002079","0.002106","0.002031","573.91M","-0.60%"
"Jan 10, 2019","0.002079","0.002215","0.002231","0.002018","861.91M","-6.13%"
"Jan 09, 2019","0.002215","0.002223","0.002244","0.002208","515.53M","-0.35%"
"Jan 08, 2019","0.002223","0.002230","0.002247","0.002213","553.73M","-0.30%"
"Jan 07, 2019","0.002230","0.002258","0.002273","0.002228","340.57M","-1.20%"
"Jan 06, 2019","0.002257","0.002249","0.002310","0.002209","477.48M","0.36%"
"Jan 05, 2019","0.002249","0.002243","0.002268","0.002211","409.37M","0.25%"
